Customer ID,First Name,Last Name,Date of Birth
CID000001,Megan,Chang,1964-11-24
CID000002,Jonathan,Dixon,1963-12-12
CID000003,Kristen,Turner,1968-04-26
CID000004,Brandy,Odonnell,1970-01-11
CID000005,Juan,Campos,1976-12-18
CID000006,John,Browning,1999-03-13
CID000007,Lisa,Barrera,1958-03-01
CID000008,Jessica,Nolan,1980-12-19
CID000009,Thomas,Garcia,1965-09-23
CID000010,Cheryl,Durham,1998-03-17
CID000011,Thomas,Grimes,1955-02-19
CID000012,Linda,Dunn,1940-02-06
CID000013,Jennifer,Ross,1989-07-24
CID000014,Elizabeth,Smith,1969-05-09
CID000015,Mikayla,Sanchez,1959-01-30
CID000016,Monica,Lee,1973-11-11
CID000017,John,Ponce,1988-03-28
CID000018,Seth,Miller,1958-10-08
CID000019,William,Cantu,1945-11-23
CID000020,Andrea,Mann,1972-08-21
CID000021,Lisa,Fernandez,1998-01-15
CID000022,Carrie,Matthews,1966-05-22
CID000023,Caitlyn,Cruz,1974-05-12
CID000024,Kelly,Lopez,1950-08-20
CID000025,Chloe,Douglas,1968-04-24
CID000026,Christopher,Todd,1992-09-23
CID000027,Sandra,Kirby,1994-01-13
CID000028,Sandra,Fernandez,1963-02-11
CID000029,Janet,Hill,1988-10-02
CID000030,Melissa,Jacobson,1975-03-23
CID000031,Stephanie,Riley,1966-09-23
CID000032,Donna,Davies,1995-03-07
CID000033,Laura,Miller,1976-08-16
CID000034,Tom,Mccoy,1990-10-18
CID000035,John,Dennis,1946-05-22
CID000036,Jeffrey,Norton,1959-07-13
CID000037,Lisa,Garcia,1948-03-04
CID000038,Heidi,Williams,1974-04-02
CID000039,Renee,Ferguson,1980-10-05
CID000040,Anthony,Reid,1976-03-25
CID000041,Barbara,Myers,1961-10-28
CID000042,Tina,Johnson,1940-07-25
CID000043,Susan,Lopez,1946-10-20
CID000044,Jason,Owen,1996-05-26
CID000045,Andrew,Coleman,1945-06-08
CID000046,Jordan,Walker,1978-09-16
CID000047,Michael,White,1969-12-19
CID000048,Benjamin,Garcia,1999-07-12
CID000049,James,Howard,1983-11-15
CID000050,Mary,Sellers,1949-07-30
CID000051,Emily,Levy,1942-10-14
CID000052,Erica,Bruce,1960-02-16
CID000053,John,Carlson,1966-03-24
CID000054,Gregory,Ruiz,1964-04-01
CID000055,Ashley,Romero,1958-03-30
CID000056,Michael,Monroe,1954-07-21
CID000057,Ann,Smith,1984-06-25
CID000058,Matthew,Williams,1956-05-18
CID000059,John,Benton,1960-09-23
CID000060,Keith,Howard,1997-01-03
CID000061,Cynthia,Oliver,1982-11-24
CID000062,Paul,Perry,1978-12-12
CID000063,Aaron,Lee,1959-08-23
CID000064,John,Walsh,1962-05-05
CID000065,Nancy,Carroll,1964-07-10
CID000066,Richard,Miles,1964-10-03
CID000067,Eileen,Williams,1966-05-30
CID000068,Jonathon,Moore,1971-06-05
CID000069,Tony,Hoffman,1985-04-30
CID000070,Nicole,Simpson,1958-04-12
CID000071,Steven,Lamb,1992-08-15
CID000072,Lisa,Lopez,2000-03-18
CID000073,Cynthia,Miller,1983-07-04
CID000074,Valerie,Morales,1980-08-19
CID000075,Leslie,Lewis,1983-01-01
CID000076,Aaron,Carson,1971-06-23
CID000077,Connor,Wilson,1978-11-07
CID000078,Morgan,Ramirez,1998-12-08
CID000079,Craig,Nash,1963-06-11
CID000080,Christopher,Hill,1966-11-16
CID000081,Laura,Callahan,1947-05-20
CID000082,Abigail,Curtis,1960-05-31
CID000083,Monica,Ramirez,1940-05-17
CID000084,Billy,Becker,1973-04-21
CID000085,Stacey,Mays,1994-09-30
CID000086,Bobby,Curry,1982-01-10
CID000087,Diana,Joseph,1994-04-24
CID000088,Danielle,Watson,1972-01-22
CID000089,Jared,Matthews,1939-10-15
CID000090,Edward,Cook,1987-05-31
CID000091,Jennifer,Morgan,1977-02-05
CID000092,Blake,Martin,1999-02-22
CID000093,Keith,Foster,1972-09-13
CID000094,Kelly,Woods,1953-11-12
CID000095,Brandon,White,1971-02-25
CID000096,Chad,Powell,1959-04-14
CID000097,Robert,Garcia,1994-09-03
CID000098,Thomas,Randall,1998-10-18
CID000099,Matthew,Mendoza,1981-12-02
CID000100,Ronald,Turner,1984-01-24
